Col1,Col2,Col3,Col4,Col5,Col6,Col7
Word199 Word200 Word201 Word202 Word7,ZQI-0021075,26176.0,Word1072 Word1846,2018-03-01,Word567 Word582 Word580 Word202 Word545,Doc1
Word85 Word86 Word87 Word5 Word88 Word16 Word17 Word3 Word7,65065,1260.0,,2018-01-01,Word563 Word580 Word581 Word232,NoDoc
Word8 Word9 Word10 Word11 Word5,4.80N+11,1200.0,Word783 Word784 Word577,2018-06-30,Word563 Word564 Word9 Word26,NoDoc
Word16 Word17 Word3 Word7,70926,425.0,Word800 Word865 Word179,2018-06-30,Word563 Word366 Word562,NoDoc
Word42 Word43 Word5,7769,435.0,Word804 Word805 Word806,2018-03-01,Word563 Word580 Word581 Word232,NoDoc
Word30 Word31,671067,48.0,Word826 Word780,2018-08-31,Word563 Word564 Word9 Word26,NoDoc
Word113 Word114 Word115 Word7,147883,1021.25,Word578 Word991,2018-08-31,Word560 Word561 Word366 Word562,Doc1
Word19 Word20 Word21 Word22 Word23 Word5,14095,2711.39,Word1801 Word1385 Word575,2018-04-30,Word563 Word575,NoDoc
Word42 Word43 Word5,7765,435.0,Word804 Word805 Word806,2018-03-01,Word563 Word580 Word581 Word232,NoDoc
Word16 Word17 Word18 Word7,2262,216.0,,2018-01-01,Word563 Word564 Word9 Word26,NoDoc
Word74 Word75 Word44 Word5,JUB00128,269111.58,Word840 Word841 Word842 Word843,2016-10-01,Word563 Word600 Word601 Word602,NoDoc
Word85 Word86 Word87 Word5 Word88 Word16 Word17 Word3 Word7,64781,52.52,Word1258 Word945,2017-12-01,Word563 Word580 Word581 Word232,NoDoc
Word16 Word17 Word18 Word7,CC104,63090.0,Word190 Word965,2018-05-31,Word563 Word564 Word9 Word26,NoDoc
Word177 Word178 Word147 Word7,254OVM,1939.0,Word899 Word805 Word1589 Word721 Word706,2018-08-31,Word563 Word366 Word562,NoDoc
Word42 Word43 Word5,8559,7680.0,Word9 Word1282 Word1149,2018-11-30,Word560 Word611 Word603 Word604 Word605 Word606,Doc1
Word8 Word9 Word10 Word11 Word5,4.80R+11,125.0,Word61,2018-06-30,Word563 Word564 Word9 Word26,NoDoc
Word33 Word34 Word35 Word7,108644-885,6443.71,Word60 Word1688 Word865 Word882 Word865 Word911,2018-05-31,Word563 Word366 Word56 Word4,NoDoc
Word16 Word17 Word3 Word7,70474,315.0,Word1631 Word1632,2018-06-30,Word563 Word580 Word581 Word232,NoDoc
Word16 Word17 Word18 Word7,4094,926.4,Word924 Word784 Word785,2018-03-01,Word567 Word568 Word569 Word570,Doc1
Word16 Word17 Word3 Word7,70480,525.0,Word1518 Word706,2018-05-31,Word563 Word366 Word562,NoDoc
Word160 Word161 Word61 Word45 Word39,1197-1,130.0,Word61,2018-10-31,Word563 Word564 Word9 Word26,NoDoc
Word240 Word276 Word3 Word4 Word5,5210,8480.0,Word1903 Word650 Word1859 Word1149,2018-05-31,Word563 Word580 Word581 Word232,NoDoc
Word435 Word51 Word4 Word5,TM8346,980.0,Word2123 Word779 Word99,2018-12-31,Word567 Word582 Word366 Word562,Doc1
Word96 Word3 Word4 Word5,91731,2800.0,Word123 Word190 Word2109 Word2110,2018-10-31,Word563 Word132 Word610,NoDoc
Word113 Word114 Word115 Word7,147196,935.0,Word578 Word4,2018-06-30,Word560 Word561 Word315 Word577 Word642 Word644,Doc1
Word113 Word114 Word115 Word7,145735,500.0,Word1809 Word1051,2018-05-31,Word567 Word582 Word366 Word562,Doc1
Word16 Word17 Word18 Word7,4149,1900.2,Word1014 Word784 Word785,2018-04-01,Word563 Word564 Word9 Word26,NoDoc
Word122 Word123 Word21 Word124 Word5,FVN18472,3330.0,Word338 Word1748 Word764 Word780,2018-05-31,Word563 Word564 Word9 Word26,NoDoc
Word33 Word34 Word35 Word7,108644-1043,4438.96,Word258 Word1306 Word699 Word1463 Word695 Word847,2018-07-31,Word563 Word366 Word56 Word4,NoDoc
Word85 Word86 Word87 Word5 Word88 Word16 Word17 Word3 Word7,64850,105.0,Word854 Word855 Word654,2017-12-01,Word563 Word580 Word581 Word232,NoDoc
Word58 Word3 Word4 Word5,13003,690.0,Word931 Word1466,2018-05-31,Word563 Word366 Word562,NoDoc
Word217 Word3 Word10 Word5,ZSV061518-1,18336.0,Word785 Word61,2018-08-31,Word563 Word564 Word9 Word26,NoDoc
Word270 Word52 Word345,314,1050.0,Word846 Word791 Word699 Word694 Word699 Word716,2018-04-01,Word571 Word52 Word657 Word457 Word13,NoDoc
Word19 Word20 Word21 Word22 Word23 Word5,18560,318.08,Word633 Word575,2018-10-31,Word563 Word575,NoDoc
Word16 Word17 Word18 Word7,ZT1622,5040.0,Word1694 Word784,2018-10-31,Word563 Word564 Word9 Word26,NoDoc
Word16 Word17 Word3 Word7,71679,360.0,Word1326 Word605,2018-08-31,Word563 Word366 Word562,NoDoc
Word271,90032306,1800.0,Word681 Word1136,2018-08-31,Word571 Word52 Word646 Word633 Word579,NoDoc
Word24 Word22 Word4 Word5,22335,4780.0,Word562 Word1012,2018-07-31,Word567 Word582 Word366 Word562,Doc1
Word116 Word117 Word118 Word119 Word7,149787,121.64,Word51 Word794,2018-04-01,Word563 Word580 Word581 Word232,NoDoc
Word97 Word91 Word4 Word5,18-10098,2000.0,Word797 Word190,2018-09-30,Word563 Word564 Word9 Word26,NoDoc
Word286 Word287 Word288 Word39,51418061105,3150.0,Word1457 Word1170,2018-07-31,Word560 Word561 Word366 Word562,Doc1
Word85 Word86 Word87 Word5 Word88 Word16 Word17 Word3 Word7,65628,317.0,Word973 Word650 Word974 Word84,2018-02-01,Word563 Word580 Word581 Word232,NoDoc
Word19 Word20 Word21 Word22 Word23 Word5,14084,72.82,Word1325 Word575,2018-04-30,Word563 Word575,NoDoc
Word16 Word17 Word18 Word7,VO617,200.0,Word785 Word330 Word99 Word26,2018-07-31,Word567 Word568 Word569 Word570,Doc1
Word96 Word3 Word4 Word5,72152,2750.0,Word1587 Word797,2018-04-30,Word563 Word366 Word562,NoDoc
Word111 Word112 Word91 Word107 Word7,26994,11040.0,Word777 Word45 Word871 Word45 Word1190,2018-02-01,Word567 Word582 Word107,Doc1
Word203 Word204 Word4 Word31,OUU002459,3000.0,Word45 Word699 Word757 Word1528 Word592,2018-11-30,Word567 Word582 Word366 Word562,Doc1
Word382 Word132 Word155 Word5,20180915,15680.0,Word13 Word794,2018-10-31,Word567 Word582 Word107,Doc1
Word78 Word79 Word11 Word5,E063018-06,384.0,Word845 Word866 Word911 Word1445 Word659,2018-08-31,Word563 Word564 Word9 Word26,NoDoc
Word156 Word157 Word7,1573256,426.66,Word1322 Word319 Word1257,2017-12-01,Word563 Word121 Word579,NoDoc
Word30 Word31,660770,1190.0,Word797 Word190,2018-08-31,Word52 Word330 Word566,NoDoc
Word113 Word114 Word115 Word7,149202,9976.25,Word578 Word791,2018-08-31,Word52 Word330 Word566,NoDoc
Word96 Word3 Word4 Word5,88359,270.0,Word123 Word190,2018-08-31,Word563 Word564 Word9 Word26,NoDoc
Word85 Word86 Word87 Word5 Word88 Word16 Word17 Word3 Word7,65937,315.0,Word575,2018-04-30,Word567 Word366 Word562,Doc1
Word16 Word17 Word18 Word7,2905,280.8,Word885 Word784 Word785,2018-01-01,Word563 Word564 Word9 Word26,NoDoc
Word16 Word17 Word18 Word7,4417,1329.6,Word783 Word784 Word785,2018-04-01,Word563 Word564 Word9 Word26,NoDoc
Word116 Word117 Word118 Word119 Word7,153749,13827.95,Word562,2018-11-30,Word563 Word575,NoDoc
Word16 Word17 Word18 Word7,IE293,2520.0,Word785 Word330 Word99 Word764 Word780,2018-07-31,Word567 Word568 Word569 Word570,Doc1
Word19 Word20 Word21 Word22 Word23 Word5,10880,523.53,Word575,2017-12-01,Word563 Word575,NoDoc
Word137 Word138 Word7,BDVK4813,1680.0,Word1712 Word835 Word905 Word791,2018-04-01,Word563 Word359,NoDoc
Word48 Word3 Word4 Word5,IN20184067,390.0,Word1542 Word99 Word798 Word799,2018-11-30,Word563 Word564 Word9 Word26,NoDoc
Word326 Word327,JQOANREGY081618,1465.08,Word613 Word781 Word1304,2018-08-31,Word571 Word52 Word594 Word696,NoDoc
Word16 Word17 Word18 Word7,3227,1068.0,Word330 Word99 Word764 Word61,2018-02-01,Word563 Word564 Word9 Word26,NoDoc
Word85 Word86 Word87 Word5 Word88 Word16 Word17 Word3 Word7,64549,315.0,Word994 Word278,2017-12-01,Word563 Word580 Word581 Word232,NoDoc
Word80 Word3 Word4,Z157003,26350.0,Word895 Word1086 Word45 Word1086 Word981,2018-10-31,Word563 Word366 Word562,NoDoc
Word78 Word79 Word11 Word5,L043018-11,48.0,Word330 Word99 Word26,2018-06-30,Word563 Word564 Word9 Word26,NoDoc
Word44 Word45 Word46,201806-00045,2829197.98,Word845 Word835 Word46,2018-07-31,Word563 Word132 Word610,NoDoc
Word16 Word17 Word18 Word7,LG1626,360.0,Word338 Word885 Word784 Word948 Word764 Word780,2018-10-31,Word563 Word564 Word9 Word26,NoDoc
Word42 Word43 Word5,8229,1510.0,Word562,2018-07-31,Word563 Word580 Word581 Word232,NoDoc
Word19 Word20 Word21 Word22 Word23 Word5,20028,463.02,Word575 Word490 Word932,2018-11-30,Word563 Word575,NoDoc
Word256 Word4 Word5,949,15600.0,Word846 Word791,2018-04-01,Word567 Word582 Word107,Doc1
Word54 Word3 Word4,OIW69879,420.0,Word797 Word190,2018-10-31,Word563 Word564 Word9 Word26,NoDoc
Word96 Word3 Word4 Word5,90469,1600.0,Word797 Word190,2018-09-30,Word563 Word132 Word610,NoDoc
Word179 Word180 Word181 Word182,ISQBU080118,44473.31,Word330 Word1004 Word1005 Word980 Word45 Word981 Word808,2018-08-31,Word571 Word52 Word669 Word573 Word21 Word670,NoDoc
Word54 Word3 Word4,NPH52465,12720.0,Word797 Word809 Word26,2018-01-01,Word563 Word564 Word9 Word26,NoDoc
Word179 Word180 Word181 Word182,WCTPF080118-TSL,-44473.31,Word979 Word836 Word980 Word45 Word981 Word808,2018-08-31,Word571 Word52 Word636 Word372 Word575 Word613,NoDoc
Word44 Word45 Word46,201811-00046,8799523.59,Word807 Word808 Word46,2018-12-31,Word560 Word561 Word740 Word741,Doc1
Word286 Word485 Word4 Word5,7153,1700.0,Word738 Word1886,2018-05-31,Word560 Word561 Word366 Word562,Doc1
Word281 Word282 Word283 Word4 Word5,40148EEA,6960.0,Word185 Word283,2018-12-31,Word613 Word99 Word614 Word282 Word283 Word580,Doc2
Word16 Word17 Word18 Word7,5187,967.2,Word885 Word784 Word785,2018-05-31,Word567 Word568 Word569 Word570,Doc1
Word16 Word17 Word18 Word7,OR123,360.0,Word794 Word1403,2018-05-31,Word563 Word580 Word581 Word232,NoDoc
Word38 Word4 Word39,41513242,18500.0,Word1021 Word1022 Word659,2018-07-31,Word563 Word121 Word579,NoDoc
Word38 Word4 Word39,41502187,8951.55,Word1021 Word1747 Word659,2018-06-30,Word563 Word121 Word579,NoDoc
Word16 Word17 Word18 Word7,1810,756.0,Word1014 Word784 Word785,2018-01-01,Word563 Word564 Word9 Word26,NoDoc
Word85 Word86 Word87 Word5 Word88 Word16 Word17 Word3 Word7,65350,157.52,,2018-02-01,Word563 Word580 Word581 Word232,NoDoc
Word16 Word17 Word18 Word7,6989,961.2,Word959 Word784 Word785,2018-05-31,Word563 Word564 Word9 Word26,NoDoc
Word19 Word20 Word21 Word22 Word23 Word5,19475,784.63,Word575 Word1864 Word1865,2018-10-31,Word563 Word575,NoDoc
Word96 Word3 Word4 Word5,84737,2295.0,Word797 Word190,2018-07-31,Word563 Word564 Word9 Word26,NoDoc
Word224 Word3 Word4 Word5,MS51-23955,807.5,Word338 Word330 Word99 Word764 Word61,2018-02-01,Word563 Word564 Word9 Word26,NoDoc
Word38 Word4 Word39,41477043,9935.52,Word1021 Word1022 Word794,2018-03-01,Word563 Word121 Word579,NoDoc
Word8 Word9 Word10 Word11 Word5,4.80U+11,516.0,Word779 Word258 Word26,2017-12-01,Word567 Word568 Word569 Word570,Doc1
Word116 Word117 Word118 Word119 Word7,155106,653.17,Word562 Word998,2018-10-31,Word563 Word580 Word581 Word232,NoDoc
Word58 Word3 Word4 Word5,13142,345.0,Word1108 Word1109,2018-07-31,Word563 Word366 Word562,NoDoc
Word16 Word17 Word18 Word7,IG422,200.0,Word330 Word99 Word764 Word26,2018-06-30,Word563 Word564 Word9 Word26,NoDoc
Word33 Word34 Word35 Word7,108644-1046,6818.24,Word562,2018-07-31,Word563 Word366 Word56 Word4,NoDoc
Word96 Word3 Word4 Word5,66082,15660.0,Word123 Word190,2018-03-01,Word563 Word564 Word9 Word26,NoDoc
Word162 Word7,RQV28QGU18,11200.0,Word13 Word794,2018-11-30,Word52 Word330 Word566,NoDoc
Word44 Word45 Word46,201811-00046,8799523.59,Word807 Word808 Word46,2018-12-31,Word563 Word359,NoDoc
Word16 Word17 Word18 Word7,JA1094,6300.0,Word926 Word784 Word785,2018-08-31,Word563 Word564 Word9 Word26,NoDoc
Word54 Word3 Word4,YOE53710,337.5,Word797 Word190 Word99 Word602,2018-01-01,Word563 Word132 Word610,NoDoc
Word219 Word220 Word34 Word5,1017,58141.24,Word846 Word791 Word45 Word45 Word45 Word981,2018-02-01,Word560 Word611 Word603 Word604 Word605 Word606,Doc1
Word19 Word20 Word21 Word22 Word23 Word5,14122,545.89,Word929 Word1288 Word932 Word1289,2018-04-30,Word563 Word575,NoDoc
Word42 Word43 Word5,8502,2375.0,Word1283 Word1284,2018-10-31,Word563 Word366 Word562,NoDoc
Word160 Word161 Word61 Word45 Word39,1211-5,195.0,Word956 Word784,2018-11-30,Word563 Word564 Word9 Word26,NoDoc
Word30 Word31,659972,3442.5,Word797 Word190,2018-06-30,Word560 Word611 Word603 Word604 Word605 Word606,Doc1
Word160 Word161 Word61 Word45 Word39,1244-4,325.0,Word934 Word784 Word935,2018-12-31,Word563 Word564 Word9 Word26,NoDoc
Word113 Word114 Word115 Word7,146560,617.5,Word578 Word991,2018-05-31,Word567 Word366 Word562,Doc1
Word19 Word20 Word21 Word22 Word23 Word5,19287,379.54,Word633 Word575,2018-10-31,Word563 Word575,NoDoc
Word85 Word86 Word87 Word5 Word88 Word16 Word17 Word3 Word7,65805,315.0,Word899 Word605,2018-03-01,Word563 Word580 Word581 Word232,NoDoc
Word16 Word17 Word18 Word7,HK113,450.0,Word785 Word650,2018-05-31,Word563 Word564 Word9 Word26,NoDoc
Word122 Word123 Word21 Word124 Word5,TXO21976,10800.0,Word826 Word785,2018-10-31,Word567 Word568 Word569 Word570,Doc1
Word89 Word44 Word5,66635383,17984.0,Word644,2018-05-31,Word563 Word608 Word609,NoDoc
Word96 Word3 Word4 Word5,57327,280.0,Word564 Word9 Word26,2017-12-01,Word563 Word564 Word9 Word26,NoDoc
Word16 Word17 Word18 Word7,3072,456.3,Word785 Word330 Word99 Word764 Word61,2018-02-01,Word563 Word564 Word9 Word26,NoDoc
Word6 Word7,10749,3500.0,Word1157 Word1060 Word666 Word1547,2018-08-31,Word52 Word330 Word566,NoDoc
Word16 Word17 Word18 Word7,IH1666,5040.0,Word879 Word785,2018-10-31,Word563 Word564 Word9 Word26,NoDoc
Word38 Word4 Word39,41469154,3500.0,Word1021 Word1131 Word659,2017-12-01,Word563 Word121 Word579,NoDoc
Word16 Word17 Word18 Word7,3202,1072.8,Word330 Word99 Word764 Word61,2018-02-01,Word563 Word564 Word9 Word26,NoDoc
Word44 Word45 Word46,201811-00046,8799523.59,Word807 Word808 Word46,2018-12-31,Word567 Word582 Word250,Doc1
Word30 Word31,649154,637.0,Word826 Word780,2018-04-01,Word563 Word564 Word9 Word26,NoDoc
Word36 Word37 Word29,2284773,619.5,Word1451,2018-10-31,Word567 Word582 Word366 Word562,Doc1
Word59 Word60 Word61 Word5,1258,330.0,Word1215 Word785,2018-11-30,Word563 Word564 Word9 Word26,NoDoc
Word8 Word9 Word10 Word11 Word5,4.80J+11,309.6,Word569 Word26,2018-06-30,Word563 Word564 Word9 Word26,NoDoc
Word30 Word31,658769,236.0,Word61,2018-05-31,Word563 Word564 Word9 Word26,NoDoc
Word16 Word17 Word3 Word7,71726,814.5,Word832 Word190,2018-08-31,Word563 Word366 Word562,NoDoc
Word224 Word3 Word4 Word5,TX51-23987,653.0,Word338 Word569,2018-03-01,Word563 Word564 Word9 Word26,NoDoc
Word134 Word61 Word45 Word39,FEM2017UXZPPIFR,50915.25,Word689 Word780 Word807 Word830,2018-01-01,Word563 Word564 Word9 Word26,NoDoc
Word254 Word255 Word5,2983,29070.0,Word1628 Word1785 Word1786,2018-03-01,Word567 Word650 Word9 Word255,Doc1
Word8 Word9 Word10 Word11 Word5,4.80X+11,318.2,Word60 Word99 Word780,2018-05-31,Word563 Word564 Word9 Word26,NoDoc
Word30 Word31,657546,2118.0,Word935 Word26,2018-05-31,Word563 Word564 Word9 Word26,NoDoc
Word16 Word17 Word3 Word7,71940,240.0,Word854 Word1827,2018-09-30,Word563 Word366 Word562,NoDoc
Word16 Word17 Word18 Word7,EB1265,360.0,Word800 Word1426,2018-09-30,Word563 Word564 Word9 Word26,NoDoc
Word30 Word31,661929,96.0,Word26 Word569,2018-06-30,Word563 Word564 Word9 Word26,NoDoc
Word85 Word86 Word87 Word5 Word88 Word16 Word17 Word3 Word7,65417,525.0,Word2052 Word1484,2018-02-01,Word563 Word580 Word581 Word232,NoDoc
Word41 Word125 Word34 Word5,4114,8638.0,Word569 Word702 Word772,2018-02-01,Word567 Word366 Word562,Doc1
Word33 Word34 Word35 Word7,108644-778,10890.72,Word562,2018-04-30,Word563 Word366 Word562,NoDoc
Word30 Word31,646970,42.0,Word826 Word780,2018-03-01,Word563 Word564 Word9 Word26,NoDoc
Word109 Word61 Word7,148,11534.8,,2018-02-01,Word567 Word568 Word569 Word570,Doc1
Word16 Word17 Word18 Word7,3508,1281.6,Word785 Word330 Word99 Word764 Word26,2018-02-01,Word563 Word564 Word9 Word26,NoDoc
Word16 Word17 Word18 Word7,3912,2298.0,Word1453 Word784 Word785,2018-03-01,Word567 Word568 Word569 Word570,Doc1
Word16 Word17 Word18 Word7,JT2083,180.0,Word783 Word784 Word165 Word948,2018-11-30,Word563 Word564 Word9 Word26,NoDoc
Word8 Word9 Word10 Word11 Word5,4.80K+11,50.0,Word61,2018-04-01,Word563 Word564 Word9 Word26,NoDoc
Word16 Word17 Word18 Word7,UO852,2520.0,Word785 Word904,2018-08-31,Word563 Word564 Word9 Word26,NoDoc
Word8 Word9 Word10 Word11 Word5,4.80H+11,670.8,Word779 Word258 Word780,2017-12-01,Word567 Word568 Word569 Word570,Doc1
Word24 Word22 Word4 Word5,23196,340.0,Word800 Word1169 Word201 Word1622,2018-11-30,Word563 Word564 Word9 Word26,NoDoc
Word33 Word34 Word35 Word7,108644-829,3715.14,Word562,2018-05-31,Word563 Word366 Word56 Word4,NoDoc
Word285 Word204 Word103 Word7,2018-2053,30000.0,Word1970 Word1321 Word1318,2018-07-31,Word567 Word582 Word583 Word584 Word585 Word586,Doc1
Word113 Word114 Word115 Word7,142924,1105.0,Word578 Word791,2018-02-01,Word576 Word366 Word562,Doc3
Word30 Word31,654082,48.0,Word61,2018-05-31,Word563 Word564 Word9 Word26,NoDoc
Word30 Word31,682045,48.0,Word61,2018-11-30,Word563 Word564 Word9 Word26,NoDoc
Word38 Word4 Word39,41521288,4223.0,Word121 Word836,2018-09-30,Word563 Word121 Word579,NoDoc
Word30 Word31,668232,318.75,Word797 Word190,2018-07-31,Word563 Word564 Word9 Word26,NoDoc
Word33 Word34 Word35 Word7,108644-1058,5415.18,Word562,2018-07-31,Word563 Word366 Word56 Word4,NoDoc
Word16 Word17 Word18 Word7,4670,1468.8,Word959 Word784 Word785,2018-04-30,Word563 Word564 Word9 Word26,NoDoc
Word116 Word117 Word118 Word119 Word7,155939,129.0,Word562,2018-10-31,Word563 Word580 Word581 Word232,NoDoc
Word16 Word17 Word18 Word7,GN123,360.0,Word794 Word1403,2018-05-31,Word563 Word580 Word581 Word232,NoDoc
Word85 Word86 Word87 Word5 Word88 Word16 Word17 Word3 Word7,65947,315.0,Word1853 Word2088,2018-03-01,Word563 Word366 Word562,NoDoc
Word16 Word17 Word18 Word7,3405,540.0,Word1100 Word9 Word191,2018-03-01,Word563 Word580 Word581 Word232,NoDoc
Word85 Word86 Word87 Word5 Word88 Word16 Word17 Word3 Word7,65838,315.0,Word562,2018-03-01,Word563 Word366 Word562,NoDoc
Word16 Word17 Word3 Word7,70598,315.0,Word1331 Word1418 Word1315,2018-06-30,Word563 Word580 Word581 Word232,NoDoc
Word48 Word3 Word4 Word5,IR20181316,1260.0,Word877,2018-08-31,Word560 Word561 Word612,Doc1
Word96 Word3 Word4 Word5,61044,440.0,,2018-01-01,Word613 Word99 Word614 Word366 Word562,Doc2
Word30 Word31,656665,144.0,Word826 Word780,2018-04-30,Word563 Word564 Word9 Word26,NoDoc
Word90 Word91 Word92 Word7,113733,12731.25,Word592 Word856,2018-08-31,Word567 Word582 Word41 Word319,Doc1
